CODCAR;CODVIA;NOMCAR
10;CA;LA RIOJA
15;CA;A.CREUS 'LO PACHECO'
20;CA;ACADEMIA
40;CA;AGER
45;CA;AIGUES TORTES
50;CA;AGUSTINS
53;AV;ALACANT
60;CA;ALANDIR
65;TR;SANT JORDI
80;AV;ALCALDE ARENY
90;CA;ALCALDE COSTA
100;CA;ALCALDE FUSTER
110;CA;ALCALDE MESTRE
130;AV;ALCALDE PORQUERAS
140;AV;ALCALDE PUJOL
150;AV;ALCALDE RECASENS
160;AV;ALCALDE ROVIRA ROURE
170;CA;ALCALDE SOL
180;CA;HISTORIADOR JOSEP LLADONOSA
190;CA;ALFES
200;CA;ALFONS II
210;CA;ALGERRI
220;CA;FERRARA
221;CA;ALMIRALL FOLCH
225;CA;ALMACELLES
230;CA;ALMODI VELL
240;PD;ALPICAT
245;CA;ALMERIA
250;CA;CASTELLA
251;PL;CASTELLA
260;CA;ALSAMORA
265;CA;AMICS DEL FFCC
270;CA;AMICS DE LLEIDA
271;PL;AMICS DE LLEIDA
280;PG;EMPORDA
290;CA;ANASTASI PINOS
300;CA;ANSELM CLAVE
305;CA;ANSELM CHARLES
310;CA;ANTONI AGUSTI
315;CA;ANTONI BERGOS I MASSO
320;CA;ANTONI SOLE
330;CA;APOSTOL SANT JAUME
340;RA;ARAGO
350;CA;ARAJOL
360;CA;ARBOLO
365;CA;ARBECA
370;CA;LA NOGUERA
380;CA;ARC DEL PONT
390;CA;ARIBAU
400;CA;ARNALD DE SOLSONA
405;CA;ARQUITECTE DOMENECH I TORRES
415;CA;ARQUITECTE MORERA I GATELL
420;CA;ARQUITECTE GAUDI
430;AV;ARTESA
440;CA;ANOIA
445;CA;ARTUR MOR
450;CA;ASSALT
455;CA;ARTUR VIVES
460;PD;ASTO
470;CA;ASSUMPCIO
480;PD;ALBARES
500;CA;ARQUITECTE GOMA
505;CA;ARQUITECTE FLORENSA
510;CA;ARQUITECTE BERGOS
515;CA;ARQUITECTE PORQUERAS
520;CA;ARQUITECTE CAMPMANY
525;CA;ARQUITECTE LAMARCA
530;CA;ARQUITECTE CASES
535;CA;ARQUITECTE CELLES
540;CA;ARQUITECTE VILLALONGA
545;CA;ENRIC CROUS
580;CA;BAFART
590;CA;BAIXADA DE L'AUDIENCIA
595;AV;BALAFIA
600;PD;BALAFIA
605;PL;BALAFIA
610;CA;BALAGUER
620;AV;BALMES
630;CA;BALLESTER
640;CA;BARBASTRO
650;AV;BARCELONA
655;CT;BARCELONA
656;PL;BARCELONA
660;GR;PLA
670;CA;BARO DE CASA FLEIX
680;CA;BARO D'EROLES
690;CA;BARO DE MAIALS
700;CA;BEATA JORNET
710;CA;BELLAVISTA
720;CA;BELLPUIG DE LES AVELLANES
725;CA;BENABARRE
730;CA;BERENGUER PRENAFETA
740;CA;BENVINGUDA
750;CA;BINEFAR
760;AV;BLONDEL
770;CA;BOBALA
780;PD;BOIXADORS
790;CA;BONAIRE
800;CA;BONIFACI VIII
810;CA;BOQUE
820;PL;BORES
830;CA;BORGES BLANQUES
840;CA;BORRAS
850;PG;BOTANIC BLET
860;CA;BOTERA
870;CA;BOTERS
880;CA;BOVA
890;PD;BOVA
900;CA;BRUC
910;TR;BRUC
920;CA;BON PASTOR
940;PD;BUTSENIT
945;PG;CACERES
950;CA;CAVALLERS
955;PG;CADIZ
960;PG;RIU CANALETAS
970;CA;CALDERERIES
980;CA;CALIXTE III
990;CA;PI I MARGALL
1000;CA;CAMI DE CORBINS
1010;CA;CAMI DE GRANYANA
1020;CA;CAMI DE MARIMUNT
1040;CA;CAMI DE PICOS
1041;TR;CAMI DE PICOS
1050;CA;CAMI VELL D'ALBATARREC
1060;CA;CAMPAMENT
1070;PD;CAMPANA
1080;CA;CAMPINYA
1090;CA;CAMP
1100;PD;CAMP-RODO
1110;CA;CANAL
1120;PD;CANET
1125;CA;CANTABRIA
1130;CA;CANONGE BRUGULAT
1140;CA;PARE SOLER
1150;CA;CANONGE GONZALEZ
1160;PD;CAPARRELLA
1165;CA;CASIMIR VILA
1170;CA;ISAAC ALBENIZ
1180;PG;RAMON Y CAJAL
1190;CA;BAIXADA DE LA TRINITAT
1200;CA;FOLCH I TORRES
1210;CA;CAPPONT
1211;PL;CAPPONT
1220;CA;CARDENAL CISNEROS
1230;CA;CARDENAL REMOLINS
1240;TR;CARDENAL REMOLINS
1243;CA;CARESMAR - LLIVIA
1250;CA;SANT ANASTASI
1260;CA;CARME
1270;TR;CARME
1280;CA;CARNICERIES
1285;CA;CARRERO - SUCHS
1290;CA;CARTOIXA TELM
1300;CA;CASAGUALDA
1301;CA;CASTELL FORMOS
1302;CA;CASTELL DE FARFANYA
1303;CA;CASTELL D'ARBECA
1304;CA;CASTELL DE MUR
1305;CA;CASTELL DE RIBELLES
1306;CA;CASTELL DE MALDA
1307;CA;CASTELL D'ARANYO
1308;CA;CASTELL DE VERDU
1309;CA;CASTELL DE GARDENY
1310;CA;BEAT FRANCESC CASTELLO ALEU
1330;AV;CATALUNYA
1340;PL;CATEDRAL
1350;CA;FERRAN RAMBLA
1360;CA;CENTRE
1370;PL;CERVANTES
1372;PD;CERDERA ALTA
1374;PD;CERDERA BAIXA
1380;CA;CERVERA
1390;CA;CERVIA
1400;CA;CID
1405;CA;CUENCA
1500;CA;CIUTAT DE FRAGA
1510;CA;CIUTAT DE TARREGA
1520;CA;CIUTADELLA
1530;CA;CLAVELL
1540;CA;CLOT DE LES MONGES
1550;CA;COBATILLAS ALTAS
1560;CA;COTXERA
1565;TR;COTXERA
1566;PD;COGULLADA TERMINO
1570;CA;COL.LEGI
1580;PD;COMA JUNCOSA
1590;CA;JOAN BAGET
1595;CA;JOAN DEL REI
1600;CA;LLIBERTAT
1610;CA;COMERÇ
1620;CA;COMPANYIA
1630;CA;L'ENSENYANCA
1635;PL;L'ESPLAI
1640;CA;COMTE DE RUEDA
1650;CA;SANTA MARTA
1660;CA;COMTE DE VINATESA
1670;CA;COMTES D'URGELL
1680;CA;COMTESSA ELVIRA
1685;PL;CONSTITUCIO
1690;PD;COPA D'OR
1695;CT;CORBINS
1700;CA;CORREGIDOR ESCOFET
1710;CA;CORREGO
1720;CA;CORREU VELL
1730;CA;COS-GAYON
1732;CA;COSO
1738;CA;CREU BASELLA - LLIVIA
1740;CA;CRISTOFOL DE BOLEDA
1750;CA;CRONISTA MUNTANER
1760;PL;DELS GRAMATICS
1765;CA;DELS PINS
1770;CA;QUATRE PILANS
1780;PD;QUATRE PILANS
1790;CA;COSTA DEL JAN
1800;CA;COSTA MAGDALENA
1810;PD;CUNILLAS
1820;CA;BLANQUERS
1830;PL;BLAS INFANTE
1930;CA;DANIEL
1940;CA;DAUNOIS
1945;CA;DEL CANYERET
1950;CA;ALCALDE VIVES
1955;CA;ALCANO
1960;PL;DIPOSIT
1970;CA;DESCALÇOS
1971;TR;DESCALÇOS
1980;CA;DESVALLS
1990;CA;LA CERDANYA
1995;CA;DE LA CERDERA
2000;PL;ESPANYA
2010;CA;DOCTOR CAMBRODI
2020;CA;CORTS CATALANES
2030;CA;DOCTOR COMBELLES
2035;PG;DOCTOR COMBELLES
2040;AV;DOCTOR FLEMING
2045;CA;DOCTOR ESTOPA
2046;CA;DOCTOR BIOSCA
2050;CA;NADAL MEROLES
2056;CA;DOCTOR ZAMMENHOFF
2060;CA;DOCTORA CASTELLS
2065;CA;ELS BEATLES
2070;CA;DOLORS
2075;CA;DUKE ELLINGTON
2080;CA;DOMENEC DE MIGUEL
2085;PL;ANDALUCIA
2095;PL;DRETS HUMANS
2100;PL;EDIL SATURNINO
2110;CA;E.PUBILL 'LO PARRANO'
2200;CA;ALFRED PEREÑA
2207;CA;EDUARD TOLDRA
2210;CA;EDUARD VELASCO
2220;AV;EXERCIT
2230;PL;EXERCIT
2240;CA;AMBAIXADOR ESPENS
2250;PD;EMPRESEGUERA
2260;CA;ENRIC GRANADOS
2267;CA;ERA VAL D'ARAN
2270;CA;ERETA
2280;PL;ERETA
2290;CA;ERMENGOL VI
2300;CA;ESCALES SANT LLORENÇ
2310;CA;ESCOLES
2320;CA;ESCULTOR CORSELLES
2325;AV;ESTUDI GENERAL
2330;CA;ESCULTOR GUALTER
2335;CA;ESPIGOL
2337;PG;ESTUDIANTS
2340;PL;SANT JOAN
2350;CA;RIU TER
2360;CA;RAMON LLULL
2370;CA;EX CAMI D'ALPICAT
2380;CA;EXTREMADURA
2381;TR;EXTREMADURA
2490;CA;ANETO
2495;CA;EUGENI D'ORS
2505;PL;EUROPA
2510;CA;FELIP DE SILVA
2520;PD;FEMOSA
2530;GR;FERNANDEZ GALAR
2540;CA;FERRAN EL CATOLIC
2550;AV;FLIX
2555;CA;FLOR DE LIS
2560;CA;FLORIDA
2580;CA;FONTANELLES
2589;AV;FONTANET
2590;PD;FONTANET
2600;PD;FONTANET LO CURT
2610;PD;FONTANET MEDIO
2620;CA;FRAGA
2625;PL;FRANÇA
2630;CA;LA SELVA
2635;CA;FRANCESC SOLANA I FORTUÑO
2640;CA;CANIGO
2645;CA;FRANCESC PORTA I VILALTA
2650;CA;FRANCESC MOLI
2660;TR;FRANCESC MOLI
2665;CA;FREDERIC RIU FARRE
2670;CA;FONT DE L'AIGUARDENT
2675;GL;FONT I QUER
2680;CA;FONT NOVA
2690;CA;GANDESA
2790;CA;GALERA
2795;CA;GARCIA LORCA
2800;AV;GARRIGUES
2820;GR;GASPAR DE PORTOLA
2830;CA;GAIROLES
2840;CA;GENERAL
2850;CA;MONTERREY
2860;CA;GENERAL BRITO
2870;AV;PRAT DE LA RIBA
2880;CA;SALMERON
2890;CA;CAMP DE MART
2895;CA;GINESTA
2900;CA;GIRONA
2910;GL;BALTASAR GRACIAN
2920;CA;GOVERNADOR MONCADA
2930;CA;AGELET I GARRIGA
2940;CA;GOYA
2950;CA;GRALLERA
2955;CA;GRANADA
2960;CA;GRANADELLA
